Titles for 2017 from The New York Times,
180.     ,Immigration Policies Pose Conflict for Police in 'Sanctuary Cities'
181.     ,Trump's Immigration Ban Draws Deep Anger and Muted Praise
182.     ,"President Trump's Immigration Order, Annotated"
183.     ,"For Grieving Parents, Trump Is ‘Speaking for the Dead’ on Immigration"
184.     ,Constraints Threaten Trump’s Promise of an Immigration Crackdown
185.     ,"Trump Pardons Joe Arpaio, Who Became Face of Crackdown on Illegal Immigration"
186.     ,Why Trump’s Softening on Immigration Is Unlikely to Splinter His Base Deals With Democrats
187.     ,Trump’s Soft Spot for Dreamers Alienates Immigration Hard-Liners
188.     ,Jaguars Owner Shahid Khan Opposes Trump’s Immigration Ban
189.     ,Trump Immigration Policies Pose Conflict for Police in ‘Sanctuary Cities’
190.     ,She Showed Up Yearly to Meet Immigration Agents. Now They're Deporting Her.
191.     ,Citizenship Applications in the U.S. Surge as Immigration Talk Toughens
192.     ,Trump’s Executive Order on Immigration: What We Know and What We Don’t
193.     ,Trump Win Probably Didn't Cause Canadian Immigration Website's Crash
194.     ,Sessions Vows to Wipe Out MS-13 Gang Through Tough Immigration Policy
195.     ,Law Enforcement Agencies Bristle at U.S. Report on Immigration Detention
196.     ,"With His Guests, Trump to Highlight Illegal Immigration as a Security Issue"
197.     ,"President Trump's Immigration Order, Annotated"
198.     ,Brand New Colossus: A Statue of Liberty Revival Amid Immigration Woes
199.     ,Trump Win Probably Didn’t Cause Canadian Immigration Website’s Crash
200.     ,Immigration Order Complicates U.S. Companies' Plans in Middle East
201.     ,Executives' Response to Immigration Order Runs Gamut From Caution to Fury
202.     ,Constraints Threaten Trump's Promise of an Immigration Crackdown
203.     ,"Demonstrators in Streets, and at Airports, Protest Immigration Order"
204.     ,"Morning Agenda: Trump’s Immigration Order, (Modest) Diversity Gains"
205.     ,"The President Has Much Power Over Immigration, but How Much?"
206.     ,Morning Agenda: Immigration Chaos Spurs Business to the Barricades
207.     ,"On Immigration, Mr. Trump Shows Congress It’s on Its Own Editorial"
208.     ,Immigration Inquiry at Queens Bakery Leads to 'A Day Without Bread'
209.     ,Trump’s Immigration Order Tests Limits of Law and Executive Power The Interpreter
210.     ,Immigration Order Complicates U.S. Businesses’ Plans in the Middle East
211.     ,1892: China Complaint On U.S. Immigration Bill IHT Retrospective
212.     ,Trump Supporters Applaud Immigration Order as a 'Welcome Change'
213.     ,Immigration Agents Discover New Freedom to Deport Under Trump
214.     ,Trump Supporters Applaud Immigration Order as a ‘Welcome Change’
215.     ,"In Canada, an Immigration Minister Who Himself Is a Refugee"
216.     ,Trump's Soft Spot for the Dreamers Alienates Immigration Hard-Liners in His Base
217.     ,Australia's Immigration Chief Defends Cutting Support for Some Asylum Seekers
218.     ,"Review: ‘Nobody’s Watching,’ an Actor’s Immigration and Alienation"
219.     ,"Trump’s Immigration Orders May Be Affecting Canada, U.S. Official Admits"
220.     ,Australia’s Immigration Chief Defends Cutting Support for Some Asylum Seekers
221.     ,"Immigration, 1700s-Style"
222.     ,Austria 's Rightward Lurch Reflects Europe's New Anti-Immigration Leanings
223.     ,Japan Limited Immigration; Now It’s Short of Workers
224.     ,How Trump's Rush to Enact an Immigration Ban Unleashed Global Chaos
225.     ,"The President Has Much Power Over Immigration, but How Much? News Analysis"
226.     ,Amazon and Expedia Join Lawsuit Against Immigration Order as Tech's Resistance Grows
227.     ,Immigration Moves Front and Center in Italy ’s Local Elections
228.     ,Immigrating to Trump’s America? Philosophers Need Not Apply The Stone
229.     ,Immigration Experts Question Tale of Australian Man's U.S. Border Detention
230.     ,Immigration Moves Front and Center in Italy 's Local Elections
231.     ,"Immigration Officers Won’t Get Guest Lists Anymore, Motel 6 Says"
232.     ,Missing in Action on Immigration
233.     ,Immigration Experts Question Tale of Australian Man’s U.S. Border Detention
234.     ,"Morning Agenda: Trump's Immigration Order, (Modest) Diversity Gains"
235.     ,Australia's Immigration Rights Letter
236.     ,How the New Immigration Is Shaking Old Europe to Its Core Nonfiction
237.     ,Trump's Executive Order on Immigration: What We Know and What We Don't
238.     ,Morning Agenda: Immigration Chaos Spurs Business to the Barricades
239.     ,"Immigration, Milo Yiannopoulos: Your Tuesday Evening Briefing"
240.     ,‘Don’t Open the Door’: How Fear of an Immigration Raid Gripped a City
241.     ,U.S. Appetite for Mexico ’s Drugs Fuels Illegal Immigration
242.     ,"In Super Bowl Ad, Airbnb Voices Its Opposition, Subtly, to Immigration Ban"
243.     ,Irish Premier Uses St. Patrick's Day Ritual to Lecture Trump on Immigration
244.     ,Defiant Trump Vows to Take Immigration Case to Supreme Court
245.     ,"Obama, Out of Office 10 Days, Speaks Out Against Immigration Ban"
246.     ,"Amid Immigration Furor, Apple ’s Chief Focuses on Apps and Music"
247.     ,Why Silicon Valley Booed Trump's Immigration Ban
248.     ,Rulings on Trump's Immigration Order Are First Step on a Long Legal Path
249.     ,‘The Far Away Brothers’ Breathes Vivid Life Into Immigration Issues Books of The Times
250.     ,Immigration Chief Knows Personally 'Very Hard' Path of Refugees
251.     ,Immigration Centers: The Next Abu Ghraib?
252.     ,"Kim Jong-nam, Illegal Immigration, Mexico : Your Evening Briefing"
253.     ,Demonstrators in Streets and at Airports Protest Trump Order on Immigration
254.     ,Irish Premier Uses St. Patrick’s Day Ritual to Lecture Trump on Immigration
255.     ,"Q. and A.: Xavier Becerra on Immigration, ‘Calexit’ and More"
256.     ,"One Ohio Town’s Immigration Clash, Down in the Actual Muck"
257.     ,"Movers: Emirates Hit by Trump Immigration Policy, Macy’s and Snap Slide"
258.     ,"Movers: Emirates Hit by Trump Immigration Policy, Macy's and Snap Slide"
259.     ,Morning Agenda: The Next Big Battle for Business Is Immigration
260.     ,Trump Will Order Wall and Curtail Immigration
261.     ,Trump Hotels’ Tweet Draws Backlash After Immigration Order
262.     ,"Trump's Immigration Order Jolts Iraqis, U.S. 's Top Allies Against ISIS"
263.     ,Are U.S. Immigration Centers the Next Abu Ghraib? Op-Ed Contributor
264.     ,6 Highlights From the Ruling on Trump’s Immigration Order
265.     ,Secretary Kelly Is Missing in Action on Immigration Editorial
266.     ,"Immigration Ban Is Unlikely to Reduce Terrorist Threat, Experts Say News Analysis"
267.     ,"U.S. Immigration Policy May Alienate Iraqis, Crucial Allies Against ISIS"
268.     ,Trump to Order Mexican Border Wall and Curtail Immigration
269.     ,Expedia Supports Lawsuit Against Trump’s Immigration Ban Update
270.     ,Morning Agenda: The Next Big Battle for Business is Immigration
271.     ,Text: President Trump’s Executive Order on Immigration
272.     ,"Health Care, Immigration Ban, North Korea : Your Tuesday Briefing"
273.     ,"Immigration Ban, Betsy DeVos, Tom Brady: Your Tuesday Briefing"
274.     ,Text: President Trump's Executive Order on Immigration
275.     ,Immigration Ban Prompts Fee Waivers and Refunds From Airlines
276.     ,Immigration Ban Blocks Children Most in Need
277.     ,Australia ‘Votes’ on a 26-Year-Old’s Travel Plans. Also: A Friendship Without (Immigration) Benefits. The Breakdown
278.     ,N.F.L. Players Association Opposes Trump’s Immigration Order
279.     ,Trump Hotels' Tweet Draws Backlash After Immigration Order
280.     ,Trump's Immigration Order Could Have a Big Impact on Sports
281.     ,Sports Fear Impact of Trump's Immigration Order
282.     ,Single-Minded at Homeland Security
283.     ,Trump’s Immigration Ban Blocks Children Most in Need of Aid
284.     ,Trump's Talk on Muslims Led Acting Attorney General to Defy Immigration Order
285.     ,"Asylum Cases Are Piling Up, And Canada Feels Strain"
286.     ,U.N. Leader Says Immigration Limits 'Violate Our Basic Principles'
287.     ,States Band Together to Fight Rewritten Immigration Order
288.     ,"Canada Welcomed Refugees, but Now Struggles With Backlog"
289.     ,California Today: Airports a Flashpoint in Immigration Protests California Today
290.     ,Supreme Court Roundup: Justices Rule on Excessive Force and in Immigration Case
291.     ,"Thousands of Federal Inmates Are in the U.S. Illegally, Administration Says"
292.     ,Number of DACA Applications Stuck in the Mail Tops 900
293.     ,California Resolute in Sanctuary Status as a Heated Case Ends
294.     ,Sessions Once Again Threatens Sanctuary Cities
295.     ,"New Jersey Bond Businesses Eye New Growth, From Immigrants"
296.     ,London’s Uber Ban Raises Questions on Race and Immigration
297.     ,"Thousands of Federal Inmates Are in the U.S. Illegally, Administration Says"
298.     ,Delayed DACA Requests Grow to More Than 900
299.     ,"New Jersey Bond Businesses Eye New Growth, From Immigrants"
300.     ,"Fewer Immigrants Mean More Jobs? Not So, Economists Say"
301.     ,"Police on Long Island Are Working Illegally With ICE, Suit Says"
302.     ,"With Fewer Immigrants, More Jobs? Not So, Economists Say"
303.     ,Sessions Threatens Sanctuary Cities
304.     ,California Sues Justice Dept. Over Funding for Sanctuary Cities
305.     ,Agents Told to Not 'Stalk' Courthouses
306.     ,California Sues Justice Dept. Over Funding for Sanctuary Cities
307.     ,First Came Giuliani's Input on the Immigration Order. Now There's the Court Test.
308.     ,Immigrants Sap Productivity: An Ugly Trope Returns
309.     ,A Policy As Good For Farms As Locusts
310.     ,Father of Maryland Teenager Charged With Rape Is Arrested
311.     ,Expelling Immigrant Workers May Also Send Away the Work They Do Economic Scene
312.     ,Terror Attacks Put Focus on Visa Programs
313.     ,"City Hall Stirs ICE Fears First, Gets Facts Later"
314.     ,"Court Officers Can’t Hold People Solely Under ICE Detainers, Massachusetts Justices Rule"
315.     ,President Backs A Plan to Curtail Legal Migration
316.     ,The Dark History of Defining ‘Family’ Op-Ed Contributor
317.     ,Illegal Border Crossings Appear to Drop Under Trump
318.     ,Trump Falsely Blames Loretta Lynch in Son’s Meeting With Russian Lawyer Fact Check
319.     ,Trump Falsely Blames Loretta Lynch in Son's Meeting With Russian Lawyer
320.     ,The Dark History of Defining 'Family'
321.     ,President Issues Terms of a Deal Over 'Dreamers'
322.     ,California Resolute in Sanctuary Status as a Heated Case Ends
323.     ,"Paid Notice: Deaths MUKAMAL, HON. STEVEN S."
324.     ,U.S. Says Fall in Arrests Shows Border Crackdown Is Working
325.     ,"An Uneasy Time for Immigrants, And Then the Rain Began to Fall"
326.     ,It Was an Uneasy Time for Immigrants in Texas . Then the Rains Came.
327.     ,"On ‘Dreamers’ Deal, Democrats Face a Surprising Foe: The Dreamers"
328.     ,Justice Dept. Reverses Policy That Sped Up Deportations
329.     ,Texas Governor Signs a Ban on Sanctuary Cities
330.     ,"In ‘Home Fire,’ Lives Touched by Immigration, Jihad and Family Love Books of The Times"
331.     ,Agents' School Visit Sets Off a Misdirected Firestorm
332.     ,Deadline for Bronx Man Facing Deportation
333.     ,White House Makes Hard-Line Demands for Any ‘Dreamers’ Deal
334.     ,"A Sheriff’s Bind: Cross the White House, or the Courts"
335.     ,Federal Judge Temporarily Blocks Texas From Enforcing a Ban on Sanctuary Cities
336.     ,State Department Tightens Rules for Visas to U.S.
337.     ,Spicer Says Rape Case Against Undocumented Student Shows Need for Crackdown
338.     ,Illegal Efforts to Enter U.S. Appear to Fall in Southwest
339.     ,California Moves to Add Protections for Immigrants; Other States Follow
340.     ,ICE’s Courthouse Arrests Undercut Democracy Op-Ed Contributor
341.     ,Obama Policy Accelerating Deportations Is Reversed
342.     ,Where the Immigration Ban Hits Home
343.     ,Federal Judge Blocks Texas ’ Ban on ‘Sanctuary Cities’
344.     ,"Trump Chooses Sessions, Longtime Foe of DACA, to Announce Its Demise"
345.     ,Texas Governor Bans Sanctuary Cities
346.     ,Fitting Messenger for News the President Was Uncomfortable Delivering
347.     ,"Border Wall Prototypes Unveiled, but Obstacles Remain for Trump's Plan"
348.     ,Governor Pardons Immigrants
349.     ,Keep ICE Arrests Out of Courts
350.     ,Man Faces Deportation After Failing to Pay Fare on Minneapolis Light Rail
351.     ,Law and Order Catches Up With Sheriff Joe Arpaio Editorial
352.     ,Tech Industry Frets Over Visa Program
353.     ,The Law Catches Up With Sheriff Joe
354.     ,"For Bronx Man Facing Deportation, a Grace Period Nears Its End"
355.     ,Putting Children at Risk When a Parent Is Detained
356.     ,"In Rebuke to Trump, Cuomo Pardons 18 Immigrants"
357.     ,"In Rebuke to Trump, Cuomo Pardons 18 Immigrants"
358.     ,"Despite 'Sanctuary City' Policy, Mayor Says New York Complies With U.S. Law"
359.     ,New Rules to Tighten Entry by Visa Would Hit Some Countries Harder
360.     ,"Detained Immigrant Children Are Entitled to Hearings, Court Rules"
361.     ,"7 Years After Arrest and Outcry, Young Woman Again Faces Deportation"
362.     ,"The Word May Be Toxic, but Amnesty Is Everywhere Quality of Mercy"
363.     ,Trump Seesaws on Legal Status for Undocumented Immigrants
364.     ,A Woman Long at Risk of Deportation Gains a Reprieve
365.     ,"As DACA Negotiations Drag On, a Judge in Brooklyn Could Intervene"
366.     ,U.S. Officials Chastise Judge Who Complained of Agents ‘Stalking’
367.     ,The Danger From Low-Skilled Immigrants: Not Having Them Economic Scene
368.     ,Sessions Scolds Chicago for Suing Over ‘Sanctuary Cities’ Threat
369.     ,Cities in New York Advised How to Buck a Trump Deportation Push
370.     ,"Mail Is Late, and DACA Renewals Are Denied"
371.     ,Prosecutors’ Dilemma: Will Conviction Lead to ‘Life Sentence of Deportation’?
372.     ,Why Common Critiques of DACA Are Misleading
373.     ,Torture Victim Seeking Asylum in U.S. Will Not Be Deported
374.     ,First Came Giuliani’s Input on the Immigration Order. Now There’s the Court Test. About New York
375.     ,10-Year-Old Immigrant Is Detained After Agents Stop Her on Way to Surgery
376.     ,Why Common Critiques of DACA Are Misleading Fact Check
377.     ,"Post Office Fails to Deliver on Time, and DACA Applications Get Rejected"
378.     ,Trump Seesaws on Providing Legal Status for Undocumented Immigrants
379.     ,Eclipsing Dreams of Better Lives Contributing Op-Ed Writer
380.     ,"Border Wall Prototypes Are Unveiled, but Trump’s Vision Still Faces Obstacles"
381.     ,Trump Proposal Would Deport More Immigrants Immediately
382.     ,Deal With Prosecutor to Avoid A 'Life Sentence of Deportation'
383.     ,"The Word May Be Toxic, but Amnesty Is Everywhere"
384.     ,680 Immigrants Arrested in One Week Is Not That Unusual in the U.S.
385.     ,"After Nearby Raids, A Quieter Backstretch At the Saratoga Track"
386.     ,"Far from Winner's Circle, Saratoga Track Workers Fear Deportation"
387.     ,Local Officials Tackle How to Govern in a Divided America
388.     ,10-Year-Old Immigrant Is Detained After Agents Stop Her on Way to Surgery
389.     ,Judge Blocks Trump Effort to Withhold Money From Sanctuary Cities
390.     ,"Far from Winner’s Circle, Saratoga Track Workers Fear Deportation"
391.     ,Trump Tweets ‘Build the Wall’ After Immigrant Is Acquitted in Kathryn Steinle Case
392.     ,Diversity Visa Lottery: Inside the Program That Admitted a Terror Suspect
393.     ,Sessions Narrows Order Against Sanctuary Cities
394.     ,"Britain Is Becoming More Fenced Off, Vindictive and Callous Op-Ed Contributor"
395.     ,"Britain , fenced off and callous"
396.     ,Right and Left React to a Prospective DACA Deal Between Trump and the Democrats
397.     ,Schneiderman to Advise 'Sanctuary Cities' How to Resist a Trump Deportation Push
398.     ,A Woman Long at Risk of Deportation Gains a Reprieve
399.     ,"Candidate's Call to Save 'Canadian Values'? Un-Canadian, Critics Say"
400.     ,Word + Quiz: contumacious Word of the Day
401.     ,Sessions Narrows Trump’s Order Against Sanctuary Cities
402.     ,"On the Right, Anger and Bewilderment"
403.     ,Right and Left React to a Prospective DACA Deal Between Trump and the Democrats
404.     ,"No Longer in an Immigrant Haven, but Vowing Defiance"
405.     ,Mayor Says Indiana Man’s Deportation ‘Feels Like a Defeat for Our Community’
406.     ,Migrant Check-Ins Were Routine. Now They Can Upend Lives.
407.     ,Brooklyn Moves to Protect Immigrants From Deportation Over Petty Crimes
408.     ,Deceit and Confusion In Talk on Law and Order
409.     ,Sessions Rebukes Chicago in Dispute Over Sanctuary Cities
410.     ,"Trump Can't Withhold Funding To Sanctuary Cities, Judge Rules"
411.     ,Sessions Lauds Miami and Rebukes Chicago in Escalating Fight With Sanctuary Cities
412.     ,"39 Members of MS-13 Are Arrested, Authorities Say"
413.     ,"Migrant, 10, Is Released, And Rejoins Her Family"
414.     ,"Candidate’s Call to Save ‘Canadian Values’? Un-Canadian, Critics Say"
415.     ,New Trump Deportation Rules Allow Far More Expulsions
416.     ,Migrants Confront Judgment Day Over Old Deportation Orders
417.     ,Prosecutors in Brooklyn Aim to Limit Deportations
418.     ,Who Will Watch the Agents Watching Our Borders? Contributing Op-Ed Writer
419.     ,Why U.S. Should Fear Less Labor By Migrants
420.     ,Local Officials Tackle How to Govern in a Divided America
421.     ,Canada’s Secret to Resisting the West’s Populist Wave The Interpreter
422.     ,San Francisco Sues Trump Over ‘Sanctuary Cities’ Order
423.     ,Migrants Confront Judgment Day Over Old Deportation Orders
424.     ,Order Expands the Authority to Deport
